inTable$redshift,u,g,r,i,z
0.01176031,17.47294,16.33436,15.56262,15.31774,14.98839
0.0814169,18.63026,17.4143,16.83272,16.44758,16.18891
0.07745497,18.83554,17.43973,16.67572,16.27727,15.95479
0.08431697,19.87357,18.03532,17.12507,16.72407,16.40438
0.03956193,19.03462,17.93467,17.61856,17.45477,17.40912
0.07814121,19.9765,18.22473,17.42369,17.0309,16.75021
0.09212504,20.70135,18.68461,17.56888,17.06064,16.68531
0.08713338,18.70226,16.82898,15.85255,15.42971,15.07662
0.09188816,18.77863,16.8115,15.88667,15.48399,15.16246
0.05341653,18.77568,17.49225,16.87088,16.5106,16.30076
0.06628425,18.3545,16.4132,15.47024,15.02814,14.70796
0.08083432,18.37866,16.56605,15.66488,15.25125,14.92436
0.07487459,19.81958,18.33516,17.67668,17.27687,17.05734
0.07011469,19.55797,18.41207,17.86209,17.51088,17.33567
0.09374659,19.86964,17.9758,17.16069,16.80494,16.5297
0.07426398,18.98178,17.91636,17.57943,17.30094,17.22888
0.05833709,19.83138,18.00714,17.18028,16.77643,16.4255
0.07477702,18.84263,17.48573,16.77131,16.35418,16.10293
0.07344664,18.51316,17.46004,17.07386,16.81043,16.69307
0.05536951,19.87853,18.52529,18.00621,17.67546,17.50512
0.05367789,18.0189,16.44608,15.7249,15.34687,15.03201
0.05727355,18.33528,16.3669,15.45503,15.03189,14.67019
0.06553315,20.18908,18.34696,17.72501,17.33183,17.12604
0.04186172,19.70217,17.85269,16.97855,16.57571,16.24689
0.08104376,18.44878,17.3215,16.83499,16.50395,16.31166
0.06088421,18.86799,17.60654,17.04354,16.68901,16.44827
0.04452245,19.80715,18.6561,18.38103,18.18117,18.06769
0.0648732,18.75764,17.52693,17.07172,16.78362,16.58347
0.09530566,19.31006,18.21436,17.75493,17.46333,17.28365
0.03756642,20.9587,19.03808,18.14665,17.67072,17.38009
0.07211592,20.29161,19.05839,18.48195,18.15536,17.94992
0.05186132,17.99793,16.12088,15.25604,14.85812,14.52777
0.07614484,18.6454,16.71458,15.83693,15.40257,15.07595
0.05324219,17.81854,15.8125,14.88087,14.4398,14.11505
0.06967486,19.61168,17.94885,17.11737,16.7279,16.43495
0.09478866,19.71796,17.76868,16.82555,16.41729,16.06363
0.06483372,18.90532,17.66577,17.04413,16.67755,16.45196
0.06252578,17.33916,15.68389,14.65866,14.25442,13.97646
0.07988536,19.60637,17.96197,17.1406,16.69907,16.37173
0.08477172,19.42644,17.73347,16.87347,16.48907,16.21311
0.02403768,17.16048,15.52548,14.75031,14.37149,14.06209
0.03532802,17.6434,16.60249,16.24126,16.00525,15.8599
0.06140465,18.11542,16.94177,16.35484,15.96462,15.75784
0.07338005,18.41634,16.54752,15.67485,15.26027,14.98349
0.08343904,20.21596,18.33961,17.3762,16.89487,16.49439
0.04036251,19.47604,17.89643,17.2254,16.90643,16.65849
0.08259811,19.89169,18.04371,17.10546,16.6558,16.30082
0.05853211,18.62926,17.40155,16.89784,16.60421,16.44173
0.08237142,18.9935,16.91951,15.94912,15.46453,15.12617
0.08606598,18.9785,17.67457,17.07017,16.58162,16.39182
0.01541419,17.98646,16.72997,16.30229,16.07369,15.87526
0.09037878,20.31988,18.49033,17.56253,17.13573,16.82137
0.06186808,19.74978,18.45335,17.70558,17.23544,16.90942
0.0517206,19.83397,17.59622,16.81888,16.53442,16.09551
0.07377697,18.54375,16.52839,15.56537,15.12848,14.73782
0.06740015,17.87721,16.76468,16.29899,15.98284,15.79159
0.05018916,19.65396,17.90272,16.96212,16.44385,16.02711
0.06554235,19.42775,17.70931,16.83471,16.38551,16.03069
0.05357184,18.86727,17.3334,16.57663,16.12056,15.78148
0.08887319,19.5676,18.04863,17.34042,16.92056,16.58311
0.09505932,20.41382,18.23023,17.28529,16.87963,16.51381
0.08069728,19.16137,18.04405,17.50529,17.15009,16.94503
0.07305016,17.84793,16.45446,16.03016,15.67061,15.5318
0.07497802,19.57326,18.43603,17.84813,17.4932,17.30471
0.04734126,18.06132,16.90594,16.44663,16.1586,15.96148
0.08933173,19.95151,18.32191,17.45424,17.03451,16.71827
0.09473201,20.39873,18.62822,17.7041,17.26032,16.88692
0.06331526,19.63525,17.69129,16.74375,16.21944,15.82728
0.06942511,18.81275,17.35775,16.6488,16.17768,15.89887
0.07991295,20.40949,18.50034,17.6294,17.20762,16.9187
0.08999298,20.1369,18.40804,17.53033,17.16015,16.82324
0.04307487,18.21576,16.64578,15.89134,15.56185,15.24991
0.09702372,20.0131,18.16995,17.13787,16.66084,16.29138
0.06638543,19.85775,17.92157,17.40338,17.09896,16.93542
-0.000139782,24.63467,22.39471,20.73352,19.79253,20.40966
0.08704043,19.14786,17.48815,16.67046,16.27064,15.97306
0.07348692,19.70187,17.73728,16.81126,16.37132,16.03936
0.05995611,18.59367,17.55536,17.23443,16.98579,16.87183
0.06850938,24.6348,21.61314,20.05419,19.29329,18.98743
0.06335986,18.91798,17.09911,16.21636,15.81296,15.49597
0.06911991,18.12237,17.08843,16.69074,16.41334,16.29414
